,representation,train_size,mean_spearman
0,embedding_120M_2011,1,0.6036893899696448
1,embedding_120M_2011,2,0.6689975939511249
2,embedding_120M_2011,3,0.7257334766654128
3,embedding_120M_2012,1,0.596516629626167
4,embedding_120M_2012,2,0.6659886461958898
5,embedding_120M_2012,3,0.7246428683913752
6,embedding_120M_2013,1,0.5942686682800246
7,embedding_120M_2013,2,0.6655325335989297
8,embedding_120M_2013,3,0.7230563140428995
9,embedding_120M_2014,1,0.6073177747294466
10,embedding_120M_2014,2,0.6714462276377167
11,embedding_120M_2014,3,0.728136694334924
12,embedding_120M_2015,1,0.6147456950091933
13,embedding_120M_2015,2,0.6821080527147881
14,embedding_120M_2015,3,0.7363848563732304
15,embedding_120M_2016,1,0.6187297325391871
16,embedding_120M_2016,2,0.6891584937377985
17,embedding_120M_2016,3,0.7419502080049568
18,embedding_120M_2017,1,0.6266690162179737
19,embedding_120M_2017,2,0.6871479255290005
20,embedding_120M_2017,3,0.7412156949702053
21,embedding_120M_2018,1,0.6169648579492885
22,embedding_120M_2018,2,0.6889128928853644
23,embedding_120M_2018,3,0.7469662152987759
24,embedding_120M_2019,1,0.6214139098076665
25,embedding_120M_2019,2,0.6887347484575637
26,embedding_120M_2019,3,0.7404997171371005
27,embedding_120M_2020,1,0.6234741793823279
28,embedding_120M_2020,2,0.6858771158943896
29,embedding_120M_2020,3,0.7396809848544459
30,embedding_120M_2021,1,0.6284697045335013
31,embedding_120M_2021,2,0.6930484479807347
32,embedding_120M_2021,3,0.7494806274340127
33,embedding_120M_2022,1,0.6057553031904496
34,embedding_120M_2022,2,0.6775778211537025
35,embedding_120M_2022,3,0.7337512869644959
36,embedding_120M_2023,1,0.6114826221834222
37,embedding_120M_2023,2,0.6812155033458671
38,embedding_120M_2023,3,0.7394431033459286
39,embedding_120M_2024,1,0.6070360885881423
40,embedding_120M_2024,2,0.6736012188943835
41,embedding_120M_2024,3,0.7297783455162429
