,year,uniprot,uniref100,uniref90,uniref50
0,2011,13069501,11659891,7623063,3653743
1,2012,19968488,15688962,9843844,4606913
2,2013,29805788,20491136,12880369,6412887
3,2014,52159208,33613081,20200107,9370012
4,2015,89998523,50371270,28628106,11992242
5,2016,60268458,72946704,39362473,16038089
6,2017,74265355,94756963,49122202,20083468
7,2018,108184003,133853533,69029793,30071646
8,2019,140253338,172327164,87296736,32474829
9,2020,178316438,216491817,107153647,39232797
10,2021,208365010,262115656,130661074,49127834
11,2022,230895644,297827854,144113457,51333317
12,2023,246440937,342650445,166459614,59142917
13,2024,250322721,390790959,184520054,63849054
14,2025,253206171,453950711,204806910,69290910
